Codigo	Nombre	Tipo	Naturaleza	Descripcion	EsDetalle	TipoEstado
520401	PERDIDA EN INVERSIONES EN ASOCIADAS / SUBSIDIARIAS Y OTRAS	expense	debit	PERDIDA EN INVERSIONES EN ASOCIADAS / SUBSIDIARIAS Y OTRAS	1	2
520402	OTROS	expense	debit	OTROS	1	2
60	GANANCIA (PÉRDIDA) ANTES DE 15% A TRABAJADORES E IMPUESTO A LA RENTA DE OPERACIONES CONTINUADAS --> Subtotal B (A + 43 - 52)	expense	debit	GANANCIA (PÉRDIDA) ANTES DE 15% A TRABAJADORES E IMPUESTO A LA RENTA DE OPERACIONES CONTINUADAS --> Subtotal B (A + 43 - 52)	0	2
61	15% PARTICIPACIÓN TRABAJADORES	expense	debit	15% PARTICIPACIÓN TRABAJADORES	1	2
62	GANANCIA (PÉRDIDA) ANTES DE IMPUESTOS --> Subtotal C (B - 61)	expense	debit	GANANCIA (PÉRDIDA) ANTES DE IMPUESTOS --> Subtotal C (B - 61)	0	2
63	IMPUESTO A LA RENTA CAUSADO	expense	debit	IMPUESTO A LA RENTA CAUSADO	1	2
64	GANANCIA (PÉRDIDA) DE OPERACIONES CONTINUADAS ANTES DEL IMPUESTO DIFERIDO --> Subtotal D (C - 63)	expense	debit	GANANCIA (PÉRDIDA) DE OPERACIONES CONTINUADAS ANTES DEL IMPUESTO DIFERIDO --> Subtotal D (C - 63)	0	2
65	(-) GASTO POR IMPUESTO DIFERIDO	expense	credit	(-) GASTO POR IMPUESTO DIFERIDO	1	2
66	(+) INGRESO POR IMPUESTO DIFERIDO	expense	debit	(+) INGRESO POR IMPUESTO DIFERIDO	1	2
67	GANANCIA (PÉRDIDA) DE OPERACIONES CONTINUADAS	expense	debit	GANANCIA (PÉRDIDA) DE OPERACIONES CONTINUADAS	0	2
71	INGRESOS POR OPERACIONES DISCONTINUADAS	income	credit	INGRESOS POR OPERACIONES DISCONTINUADAS	1	2
72	GASTOS POR OPERACIONES DISCONTINUADAS	expense	debit	GASTOS POR OPERACIONES DISCONTINUADAS	1	2
73	GANANCIA (PÉRDIDA) ANTES DE 15% A TRABAJADORES E IMPUESTO A LA RENTA DE OPERACIONES DISCONTINUADAS --> Subtotal E (71 - 72)	expense	debit	GANANCIA (PÉRDIDA) ANTES DE 15% A TRABAJADORES E IMPUESTO A LA RENTA DE OPERACIONES DISCONTINUADAS --> Subtotal E (71 - 72)	0	2
74	15% PARTICIPACIÓN TRABAJADORES	expense	debit	15% PARTICIPACIÓN TRABAJADORES	1	2
75	GANANCIA (PÉRDIDA) ANTES DE IMPUESTOS DE OPERACIONES DISCONTINUADAS --> Subtotal F (E - 74)	expense	debit	GANANCIA (PÉRDIDA) ANTES DE IMPUESTOS DE OPERACIONES DISCONTINUADAS --> Subtotal F (E - 74)	0	2
76	IMPUESTO A LA RENTA CAUSADO	expense	debit	IMPUESTO A LA RENTA CAUSADO	1	2
77	GANANCIA (PÉRDIDA) DE OPERACIONES DISCONTINUADAS --> Subtotal G (F - 76)	expense	debit	GANANCIA (PÉRDIDA) DE OPERACIONES DISCONTINUADAS --> Subtotal G (F - 76)	0	2
79	GANANCIA (PÉRDIDA) NETA DEL PERIODO --> Subtotal H (D + G)	expense	debit	GANANCIA (PÉRDIDA) NETA DEL PERIODO --> Subtotal H (D + G)	0	2
7901	PROPIETARIOS DE LA CONTROLADORA	expense	debit	PROPIETARIOS DE LA CONTROLADORA	1	2
7902	PARTICIPACIÓN ATRIBUIBLE A LA NO CONTROLADORA (informativo)	expense	debit	PARTICIPACIÓN ATRIBUIBLE A LA NO CONTROLADORA (informativo)	1	2
81	COMPONENTES DEL OTRO RESULTADO INTEGRAL	expense	debit	COMPONENTES DEL OTRO RESULTADO INTEGRAL	0	2
8101	DIFERENCIA DE CAMBIO POR CONVERSIÓN	expense	debit	DIFERENCIA DE CAMBIO POR CONVERSIÓN	1	2
8102	VALUACIÓN DE ACTIVOS FINANCIEROS DISPONIBLES PARA LA VENTA	expense	debit	VALUACIÓN DE ACTIVOS FINANCIEROS DISPONIBLES PARA LA VENTA	1	2
8103	GANANCIAS POR REVALUACIÓN DE PROPIEDADES, PLANTA Y EQUIPO	expense	debit	GANANCIAS POR REVALUACIÓN DE PROPIEDADES, PLANTA Y EQUIPO	1	2
8104	GANANCIAS (PÉRDIDAS) ACTUARIALES POR PLANES DE BENEFICIOS DEFINIDOS	expense	debit	GANANCIAS (PÉRDIDAS) ACTUARIALES POR PLANES DE BENEFICIOS DEFINIDOS	1	2
8105	REVERSIÓN DEL DETERIORO (PÉRDIDA POR DETERIORO) DE UN ACTIVO REVALUADO	expense	credit	REVERSIÓN DEL DETERIORO (PÉRDIDA POR DETERIORO) DE UN ACTIVO REVALUADO	1	2
8106	PARTICIPACIÓN DE OTRO RESULTADO INTEGRAL DE ASOCIADAS	expense	debit	PARTICIPACIÓN DE OTRO RESULTADO INTEGRAL DE ASOCIADAS	1	2
8107	IMPUESTO SOBRE LAS GANACIAS RELATIVO A OTRO RESULTADO INTEGRAL	expense	debit	IMPUESTO SOBRE LAS GANACIAS RELATIVO A OTRO RESULTADO INTEGRAL	1	2
